Gemstone,Image,Alternate Name,Chakra,Physical Attributes,Emotional Attributes,Metaphysical Attributes,Origin,Physical Description,Birth Month,Zodiac Sign,Mohs Hardness
Larimar,,,Throat,"Throat, Cartilage, Thyroid","Encourages relaxation, soothes stress and anxiety","Connects to divine feminine energy, promotes harmony",Dominican Republic,"Light blue to turquoise variety of pectolite often used in jewelry and carvings, prized for its calming and healing energies",,,4.5-5
Leopardskin Jasper,leopardskin jasper.png,,,,,,,,,,
Lepidolite,,,"Third Eye, Crown","Insomnia, Menopause, Bipolar disorder, Nervous system, Insomnia, Mood swings","Calms anxiety, aids in emotional healing and balance","Facilitates transition, supports mental clarity","Brazil, United States, Czech Republic","Purple to pink lithium-rich mica often used in jewelry, carvings, and as a calming stone for stress and anxiety",,,2.5-4
Magnetite,,,Root,"Blood circulation, Iron absorption, Muscle health","Grounds energy, attracts and aligns energies","Enhances manifestation, promotes stability and balance","United States, Brazil, Sweden","Iron ore with magnetic properties, used in magnetic therapy and for its grounding and balancing effects",,,5.5-6.5
Mahogany Obsidian,mahogany obsidian.png,,"Root, Sacral","Circulation, Muscles, Detoxification","Grounds energy, shields against negativity and psychic attacks","Enhances strength, fosters self-acceptance","United States, Mexico","Volcanic glass with brown to black inclusion patterns, used in jewelry and for its grounding and protective properties",,,5-5.5
Malachite,,,Heart,"Arthritis, Asthma","Absorbs negativity, encourages change and risk-taking","Amplifies energy, protects against electromagnetic pollution","Democratic Republic of Congo, Zambia, Russia","Green copper carbonate mineral often banded with light and dark green shades, used in jewelry and decorative pieces",,,3.5-4
Merlinite,,,"Third Eye, Crown","Nervous system, Digestive system","Balances energies, aids in accessing past lives and Akashic records","Enhances intuition, promotes spiritual development",United States,"Black-and-white banded stone, often with dendritic patterns, used in jewelry and for its metaphysical properties",,,6-7
Moonstone,moonstone.png,,Crown,"Digestive system, Pregnancy","Enhances intuition, balances emotions","Promotes feminine energy, enhances psychic abilities","India, Sri Lanka, Australia, United States","Translucent stone with a milky sheen, often bluish or white, sometimes displaying adularescence (sheen or glow) when moved",,,6-6.5
Moss Agate,,,Heart,"Immune system, Digestive system, Lymphatic system","Balances emotions, encourages abundance and aids in personal growth and renewal","Enhances plant growth, connects to nature, encourages optimism","India, United States, Brazil","Transparent to translucent quartz with green moss-like inclusions, used in jewelry and for its calming properties",,,6.5-7
Ocean Jasper,,,"Heart, Solar Plexus","Digestive system, Lymphatic system","Encourages joy and self-expression, alleviates stress and worry","Promotes relaxation, supports emotional healing",Madagascar,"Multicolored orbicular jasper often with orb patterns, used in jewelry and for its grounding and nurturing energies",,,6.5-7
Orange Calcite,,,"Sacral, Solar Plexus","Reproductive system, Metabolism","Boosts energy, increases motivation and creativity","Enhances emotional balance, brings joy and positivity","Mexico, Brazil, United States","Orange to peach-colored mineral with a waxy or glassy appearance, used in carvings and for its uplifting and energizing properties",,,2.5-3
Petrified Wood,,,"Root, Sacral","Bones, Back, Joints","Grounds energy, aids in past-life regression and ancestral healing","Connects to Earth's energy, fosters patience","United States, Madagascar, Indonesia","Fossilized wood often with mineral replacement, used in jewelry, carvings, and as a grounding and stabilizing stone",,,Varies
Picture Jasper,,,"Root, Third Eye","Immune system, Skin disorders","Encourages harmony, aids in creative visualization","Stimulates visual journeying, enhances connection","United States, Madagascar","Brown jasper with patterns resembling landscapes or scenes, used in jewelry and for its grounding and harmonizing properties",,,6.5-7
Pietersite,,,"Third Eye, Solar Plexus","Nervous system, Liver, Hormones","Enhances willpower, stimulates intuition and insight","Activates inner vision, promotes spiritual growth","Namibia, China, South Africa, United States","Chatoyant stone with gold, blue, or red tiger's eye-like sheen, used in jewelry and for its metaphysical and energizing properties",,,6-7
Pink Opal,,,Heart,"Heart, Lungs, Blood disorders, Emotional healing","Encourages emotional healing, promotes compassion and love","Brings peace and tranquility, supports inner peace, Enhances intuition","Peru, Australia, United States",Pink to peach-colored opaque mineral often used in jewelry and carvings for its soft and calming energy,,,5-6.5
Pink Tourmaline,,,Heart,"Heart, Lungs, Skin disorders","Promotes love, emotional healing, and self-compassion","Enhances empathy, fosters spiritual growth","Brazil, United States, Afghanistan",Pink to red variety of tourmaline used in jewelry and for its association with emotional healing and love,,,7-7.5
Prehnite,,,Heart,"Kidneys, Gout, Fatigue, Bladder, Nervous system","Facilitates emotional healing, alleviates worries and fears, Enhances intuition, aids in dream recall and visualization","Connects to higher realms, fosters unconditional love, Enhances visualization, connects to higher self","Australia, South Africa, United States","Yellow-green to green mineral with a vitreous luster, often used in jewelry and for its calming energies",,,6-6.5
Pyrite,,,Solar Plexus,"Digestive system, Bones","Boosts confidence, promotes vitality and willpower","Shields against negativity, enhances mental clarity","Spain, Peru, Italy, United States","Metallic luster, brassy yellow color often forming cubic crystals, sometimes called ""Fool's Gold"" for its resemblance",,,6-6.5
Rainbow Fluorite,,,"Third Eye, Crown","Immune system, Nervous system","Enhances mental clarity, focus, and intuition","Cleanses and stabilizes aura, promotes spiritual growth","China, Mexico, United States","Multicolored fluorite displaying bands of purple, green, blue, and yellow, used in carvings and for meditation",,,4
Rainbow Moonstone,,,"Crown, Third Eye, Solar Plexus","Hormones, Menstrual cycle","Enhances intuition, fosters creativity and emotional balance","Connects to feminine energies, promotes spiritual growth","India, Sri Lanka, United States","Feldspar mineral exhibiting adularescence with a blue sheen, used in jewelry and for its associations with the moon and intuition",,,6-6.5
Rainbow Obsidian,,,"Root, Sacral","Digestive system, Detoxification, Pain relief","Aids in emotional healing, absorbs negative energies","Enhances protection, promotes positivity",Mexico,"Volcanic glass displaying iridescent colors, used in jewelry and for its grounding and protective properties",,,5-5.5
Red Aventurine,,,"Root, Sacral","Circulation, Vitality, Blood pressure","Stimulates action, boosts creativity and motivation","Enhances energy flow, supports vitality and sexuality","Brazil, India, Russia","Red-brown variety of quartz with metallic inclusions, used in jewelry and as a healing stone",,,7
Red Jasper,brecciated red jasper2.png,,"Root, Sacral","Circulatory system, Sexual organs","Grounds energy, brings stability and emotional balance","Strengthens stamina, aids in physical endurance","Brazil, United States, Venezuela","Red variety of chalcedony often with darker veins or spots, used in jewelry and decorative items",,,6.5-7
Rhodochrosite,,,Heart,"Heart, Lungs, Blood pressure","Promotes love, emotional healing, and self-confidence","Balances emotions, encourages self-forgiveness","Argentina, Peru, South Africa, United States","Pink to red mineral often with white banding, used in jewelry and as a collector's stone",,,3.5-4.5
Rhodolite Garnet,,,"Root, Heart","Blood, Heart, Circulation","Inspires love, commitment, and emotional healing","Enhances vitality, stimulates compassion and intuition","India, Sri Lanka, United States",Purplish-red variety of garnet used in jewelry and as a healing stone for its association with love and emotional healing,,,7-7.5
Rhodonite,,,Heart,"Immune system, Emphysema","Encourages forgiveness, compassion","Balances emotions, heals emotional wounds","Russia, United States","Pink to red manganese silicate often with black manganese oxide veins, used in jewelry and carvings",,,5.5-6.5
Rhyolite,,,Heart,"Circulation, Digestive system, Skin","Encourages emotional release, aids in transformation","Enhances creativity, promotes inner peace","United States, Australia","Volcanic rock with various colors and patterns, used for meditation and for its calming and balancing properties",,,Varies
Rose Quartz,,,Heart,"Circulatory system, Fertility, Skin issues","Encourages love, compassion, emotional healing","Enhances relationships, self-love, and forgiveness","Brazil, Madagascar, South Africa, United States","Pink variety of quartz, translucent to opaque, may contain rutile inclusions",,,7
Ruby,,,"Root, Heart","Blood, Heart, Circulation","Encourages passion, love, and vitality","Stimulates life force, promotes courage and leadership","Myanmar, Thailand, Sri Lanka, United States","Red variety of corundum, often used in jewelry for its deep red color and association with love and passion",,,9
Ruby in Zoisite,,,Heart,"Heart, Spleen, Fertility","Encourages passion, vitality, and growth","Stimulates the heart, enhances spiritual connection","India, Tanzania, United States","Green zoisite with embedded ruby crystals, used in jewelry and for its energizing and heart-centered properties",,,6-7
Rutilated Quartz,,,All,"Immune system, Energy flow, Digestive system","Amplifies intentions, aids in decision-making and problem-solving","Enhances spiritual growth, cleanses and energizes","Brazil, United States, Madagascar","Clear quartz with needle-like rutile inclusions, often used in jewelry and for its energizing and amplifying properties",,,7
Scolecite,,,"Third Eye, Crown","Nervous system, Blood pressure","Enhances inner peace, aids in spiritual awakening",Facilitates communication with higher realms,"India, Iceland, United States","White to colorless zeolite mineral forming in prismatic crystals, used in meditation and for its calming and spiritual properties",,,5-5.5
Selenite,,,Crown,"Skeletal system, Epilepsy, Fertility, Anti-inflammatory","Brings mental clarity, purifies energies","Cleanses aura, connects to higher consciousness,Connects to higher realms, cleanses and charges stones","Mexico, United States, Morocco","Transparent to opaque white stone often formed in long, blade-like crystals or wands",,,2
Septarian,,,"Root, Sacral, Solar Plexus","Digestive system, Blood circulation, Bones","Encourages patience, nurtures confidence","Harmonizes emotions, aids in spiritual grounding","United States, Madagascar, Australia","Brown sedimentary rock with calcite, aragonite, and limestone formations, used for its grounding and nurturing energies",,,Varies
Seraphinite,,,"Heart, Crown","Lungs, Heart, Cellular regeneration",Promotes emotional healing,"Facilitates spiritual enlightenment, angelic communication, purifies the aura",Russia,"Green variety of clinochlore with silvery feathery patterns, used in jewelry and for its connection to angelic realms",,,2-2.5
Serpentine,serpentine.png,,Heart,"Kidneys, Stomach, Hormones, Vitality","Supports emotional cleansing and healing, aids in meditation","Aids in spiritual exploration, enhances connection, promotes peace","United States, Afghanistan, Italy, China","Green mineral with mottled patterns, often resembling snakeskin, used in carvings and as an ornamental stone",,,2.5-5.5
Shattuckite,,,"Throat, Third Eye","Thyroid, Metabolism, Blood pressure","Promotes truth, strengthens psychic abilities","Facilitates clear communication, deepens intuition","Democratic Republic of Congo, Namibia","Blue to green mineral with a silky luster, used in jewelry and for its healing and spiritual properties",,,3.5-4
Shungite,,,Root,"Immune system, Water purification","Shields from electromagnetic radiation, purifies energies","Offers protection, grounds and detoxifies",Russia,"Black mineral with a metallic luster, used in water filters, jewelry, and for its purported healing properties",,,3.5-4
Smithsonite,,,"Heart, Throat","Immune system, Thyroid, Stress","Brings emotional relief, supports healing and tranquility","Encourages forgiveness, enhances intuition","United States, Mexico, Namibia","Pink, purple, blue, or green carbonate mineral often used in jewelry and for its soothing and calming energies",,,4-5
Smoky Quartz,,,"Root, Solar Plexus","Lower abdomen, Feet, Legs","Grounds energy, dissolves negativity","Provides protection, enhances survival instincts","Brazil, Madagascar, United States","Brown to black variety of quartz, often transparent to translucent, known for its smoky coloration",,,7
Snowflake Obsidian,,,Root,"Veins, Circulation, Skin disorders","Provides balance, helps release emotional blockages","Supports transformation, encourages self-growth","United States, Mexico, Italy","Black obsidian with white snowflake-like patterns, used in jewelry and for its grounding and purification properties",,,5-5.5
Sodalite,,,"Throat, Third Eye","Throat, Blood pressure, Metabolism, Larynx","Enhances rational thinking, intuition, and self-discipline, Enhances self-expression, calms panic attacks","Promotes mental clarity, deepens meditation","Brazil, Canada, Namibia, Russia","Blue mineral often with white veins or flecks, used in carvings, jewelry, and decorative items",,,5.5-6
Spirit Quartz,,,"Crown, Third Eye","Immune system, Nervous system","Facilitates group harmony, amplifies energy and protection","Aids in meditation, enhances spiritual growth",South Africa,"Quartz covered in smaller crystals, often amethyst, citrine, or white quartz, used in jewelry and for its high vibrational energy",,,7
Stilbite,,,"Heart, Third Eye","Throat, Lungs, Allergies","Encourages inner peace, relaxation, and dream recall","Facilitates intuition, spiritual guidance","India, Iceland, United States","Pink, white, or peach-colored mineral with a pearly luster, used in jewelry and for its calming and metaphysical properties",,,3.5-4.5
Sugilite,,,"Crown, Third Eye","Nervous system, Headaches","Promotes spiritual awareness, aids in releasing negative energy","Enhances intuition, fosters emotional healing","South Africa, Japan, Canada, United States","Purple to reddish-purple mineral often with black matrix, used in jewelry and for its protective and healing properties",,,6-6.5
Sunstone,,,"Sacral, Solar Plexus","Digestive system, Spleen","Brings joy, vitality, and independence, Encourages joy, promotes leadership",Stimulates self-healing powers,"India, Norway, United States, Canada","Sparkling reddish to golden stone with metallic inclusions, often used in jewelry and as a decorative stone",,,6-6.5
Tangerine Quartz,,,"Sacral, Solar Plexus","Reproductive system, Energy flow","Encourages creativity, boosts vitality and sexual energy","Balances emotions, promotes joy and enthusiasm","Brazil, Madagascar, United States","Quartz crystals with an orange hue, often used in meditation and for energizing and revitalizing properties",,,7
Tibetan Quartz,,,All,"Immune system, Energy flow, Digestive system","Amplifies energy, enhances spiritual development and meditation",Facilitates connection to spiritual guides,"Tibet, Himalayas, Nepal","Clear quartz often with black carbon inclusions or etchings, used in meditation and for its connection to ancient knowledge",,,7
Tiger Iron,,,"Root, Sacral, Solar Plexus","Vitality, Hormones, Muscles","Encourages strength, vitality, and grounding","Balances emotions, enhances willpower and endurance","Australia, South Africa, United States","Banded combination of tiger's eye, hematite, and red jasper, used in jewelry and for its grounding and stabilizing properties",,,7
Tiger's Eye,,,"Solar Plexus, Sacral","Digestive system, Eye issues","Promotes willpower, confidence, and protection","Enhances personal power, brings luck and prosperity","South Africa, Australia, United States","Chatoyant stone with golden-brown to red-brown color, often used in jewelry for its chatoyancy (shimmering band of light)",,,6-7
Tourmalinated Quartz,,,All,"Immune system, Energy flow, Digestive system","Balances yin-yang energies, removes negative patterns","Cleanses and purifies, enhances spiritual growth","Brazil, United States","Clear quartz with black tourmaline needle-like inclusions, often used in jewelry and for its energetic properties",,,7
Turquoise,,,"Throat, Heart","Immune system, Respiratory system, Inflammation","Eases emotional stress, aids in communication","Protection from negativity, promotes balance and healing, Enhances communication, aids in self-expression","United States, Mexico, China, Iran",Blue to greenish-blue stone with web-like matrix often set in silver jewelry,,,5-6
Unakite,,,Heart,"Heart, Lungs, Reproductive system","Aids in emotional healing, promotes harmony and balance","Enhances visualization, fosters patience and persistence","United States, South Africa","Pink and green feldspar with quartz and epidote, used in jewelry and for its balancing and grounding properties",,,6-7
Vanadinite,,,"Root, Sacral","Blood circulation, Digestive system, Stamina","Increases vitality, aids in goal-setting and manifestation","Enhances creativity, stimulates mental clarity","Morocco, United States, Mexico","Reddish-brown mineral often forming hexagonal crystals, used in jewelry and for its energizing and grounding properties",,,3-4
Yellow Jasper,,,Solar Plexus,"Digestive system, Detoxification","Brings joy and positivity, supports mental clarity","Encourages self-confidence, aids in decision-making","United States, Australia, Brazil","Yellow variety of quartz often with brown veins, used in jewelry and for its uplifting and stabilizing energies",,,6.5-7
